node.name,node.createdAt,node.stargazers.totalCount
pi-hole,2014-06-08T15:02:55Z,25002
weui,2014-12-18T04:09:54Z,24978
GitHub-Chinese-Top-Charts,2019-09-05T03:01:56Z,24952
beego,2012-02-29T02:32:08Z,24867
bert,2018-10-25T22:57:34Z,24852
iina,2016-12-19T07:18:45Z,24827
request,2011-01-23T01:25:14Z,24801
basics,2018-11-05T03:44:27Z,24773
swiper,2012-03-14T19:11:45Z,24770
vuex,2015-07-16T04:21:26Z,24738
open-source-ios-apps,2015-01-26T23:32:34Z,24722
netty,2010-11-09T09:22:21Z,24710
Faker,2011-10-14T22:49:02Z,24675
nativefier,2015-07-05T05:56:42Z,24659
select2,2012-03-04T18:43:12Z,24631
formik,2017-06-14T19:50:59Z,24574
